Unnamed: 0,DISTRICT,BLOCK,PANCHAYAT,VILLAGE,LATITUDE,LONGITUDE,PH,P,K,CA,MG
60,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.650888889,76.64413889,6.1,5.51,257.15,1000.0,265.38
62,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.637694444,76.65713889,5.9,160.63,245.84,574.85,204.05
63,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.638722222,76.65786111,6.5,21.77,308.9,765.2,181.25
64,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63975,76.65738889,6.0,103.6,441.62,457.9,200.8
65,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.640333333,76.65705556,5.0,7.16,253.79,219.2,197.6
66,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641944444,76.65663889,5.8,143.84,226.13,380.15,196.2
67,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.642416667,76.65641667,5.6,49.32,279.44,499.0,227.63
68,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.643277778,76.65613889,5.1,19.29,512.62,305.75,310.03
69,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.643555556,76.656,4.4,20.11,168.0,134.0,168.8
70,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.644055556,76.65569444,5.3,58.69,142.69,91.4,114.98
72,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.644916667,76.65441667,6.0,131.7,238.78,185.5,151.95
73,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.646388889,76.65294444,6.2,53.45,195.33,339.4,133.93
74,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.647,76.65258333,5.2,25.62,200.93,265.9,137.78
75,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641944444,76.65763889,6.1,157.87,642.21,598.6,237.4
76,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.643138889,76.65936111,6.4,128.39,261.63,750.9,206.93
77,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.643694444,76.65930556,5.3,21.49,347.31,183.45,95.03
78,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.644722222,76.659,4.3,23.14,268.35,267.85,95.8
79,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.645222222,76.65880556,5.4,14.6,381.58,181.4,174.75
